affiliated_org,candidate_id,committee_id,committee_type,designation,name,org_type
NONE,H2CT05131,C00494203,H,P,FRIENDS OF ELIZABETH ESTY,
DELAURO VICTORY FUND,H0CT03072,C00238865,H,P,FRIENDS OF ROSA DELAURO,
NONE,H8CT01046,C00330142,H,P,LARSON FOR CONGRESS,
NONE,H0DE01017,C00460899,H,P,JOHN CARNEY FOR CONGRESS,
,H6FL06035,C00051227,H,P,CONGRESSMAN BILL YOUNG CAMPAIGN COMMITTEE,
IRL PAC,H0FL18025,C00280537,N,D,SOUTH FLORIDA FIRST PAC,
,H0FL18025,C00251660,H,A,ILEANA ROS-LEHTINEN FOR CONGRESS - 1992,
,H0FL18025,C00239731,H,A,ILEANA ROS-LEHTINEN FOR CONGRESS - 1990,
GULF COAST VICTORY FUND,H2FL01100,C00366757,H,P,JEFF MILLER FOR CONGRESS,
NONE,H0FL04066,C00352849,Q,U,ANDER PAC,
HISPANIC LEADERSHIP TRUST PARTNERSHIP,H2FL25018,C00376087,H,P,MARIO DIAZ-BALART FOR CONGRESS,
NONE,H4FL20023,C00385773,H,P,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,
,H6FL11126,C00410761,H,P,CASTOR FOR CONGRESS,
VICTORY 2024,H6FL13148,C00412759,H,P,VERN BUCHANAN FOR CONGRESS,
GUS BILIRAKIS VICTORY FUND,H6FL09070,C00408534,H,P,BILIRAKIS FOR CONGRESS,
NONE,H8FL15107,C00444968,H,P,FRIENDS OF BILL POSEY,
NONE,H8FL16022,C00432906,H,P,TOM ROONEY FOR CONGRESS,
DEUTCH VICTORY FUND,H0FL19080,C00469163,H,P,TED DEUTCH FOR CONGRESS COMMITTEE,
NONE,H0FL02110,C00468959,H,P,SOUTHERLAND FOR CONGRESS,
NONE,H0FL05139,C00482281,H,P,FRIENDS OF RICH NUGENT,
TRANSPORTATION TRUST FUND,H0FL08208,C00481911,H,P,DANIEL WEBSTER FOR CONGRESS,
