chamber,icpsr,district,state,party,name,congress_id,NOMINATE_dim1,NOMINATE_dim2
House,29346,1,IL,100,"RUSH, Bobby L.",R000515,-0.47900000000000004,-0.203
House,29348,4,IL,100,"GUTIÉRREZ, Luis V.",G000535,-0.487,-0.26
House,29717,7,IL,100,"DAVIS, Danny K.",D000096,-0.486,-0.263
House,29718,15,IL,200,"SHIMKUS, John M.",S000364,0.375,0.154
House,29911,9,IL,100,"SCHAKOWSKY, Janice D.",S001145,-0.603,-0.272
House,15124,1,IN,100,"VISCLOSKY, Peter",V000108,-0.402,0.244
House,20757,7,IN,100,"CARSON, André",C001072,-0.428,0.049
House,21100,3,IN,200,"STUTZMAN, Marlin",S001188,0.742,-0.11900000000000001
House,21131,4,IN,200,"ROKITA, Todd",R000592,0.602,-0.16
House,21132,8,IN,200,"BUCSHON, Larry",B001275,0.40800000000000003,0.269
House,21133,9,IN,200,"YOUNG, Todd",Y000064,0.449,-0.052000000000000005
House,21330,2,IN,200,"WALORSKI, Jackie",W000813,0.436,0.315
House,21331,5,IN,200,"BROOKS, Susan",B001284,0.352,0.217
House,21332,6,IN,200,"MESSER, Luke",M001189,0.5630000000000001,-0.08600000000000001
House,20325,4,IA,200,"KING, Steve",K000362,0.613,0.171
House,20719,1,IA,100,"BRALEY, Bruce",B001259,-0.31,-0.20500000000000002
House,20720,2,IA,100,"LOEBSACK, Dave",L000565,-0.276,-0.027
House,29522,3,IA,200,"LATHAM, Thomas",L000111,0.302,0.308
House,20915,2,KS,200,"JENKINS, Lynn",J000290,0.523,0.004
House,21134,1,KS,200,"HUELSKAMP, Tim",H001057,0.744,-0.466
House,21135,3,KS,200,"YODER, Kevin",Y000063,0.558,0.03
House,21136,4,KS,200,"POMPEO, Mike",P000602,0.66,0.164
House,14854,5,KY,200,"ROGERS, Harold Dallas (Hal)",R000395,0.339,0.124
House,20723,3,KY,100,"YARMUTH, John",Y000062,-0.378,-0.275
House,20916,2,KY,200,"GUTHRIE, Brett",G000558,0.418,0.296
House,21333,6,KY,200,"BARR, Garland H. (Andy) IV",B001282,0.47600000000000003,0.34
House,29525,1,KY,200,"WHITFIELD, Wayne Edward (Ed)",W000413,0.303,0.182
House,31102,4,KY,200,"MASSIE, Thomas",M001184,0.678,-0.735
House,20514,3,LA,200,"BOUSTANY, Charles W.",B001255,0.392,0.308
House,20759,1,LA,200,"SCALISE, Steve",S001176,0.555,0.169
House,20918,4,LA,200,"FLEMING, John",F000456,0.59,0.022
House,20919,6,LA,200,"CASSIDY, Bill",C001075,0.46900000000000003,-0.065
House,21137,2,LA,100,"RICHMOND, Cedric",R000588,-0.486,0.332
House,90327,5,LA,200,"ALEXANDER, Rodney",A000361,0.331,0.40800000000000003
House,20328,2,ME,100,"MICHAUD, Michael H.",M001149,-0.28300000000000003,-0.07100000000000001
House,20920,1,ME,100,"PINGREE, Chellie",P000597,-0.42,-0.369
House,14873,5,MD,100,"HOYER, Steny Hamilton",H000874,-0.381,0.11900000000000001
House,20329,2,MD,100,"RUPPERSBERGER, C. A. (Dutch)",R000576,-0.296,0.129
House,20330,8,MD,100,"VAN HOLLEN, Christopher",V000128,-0.392,-0.209
House,20724,3,MD,100,"SARBANES, John",S001168,-0.467,-0.07100000000000001
House,20763,4,MD,100,"EDWARDS, Donna F.",E000290,-0.562,-0.294
House,21139,1,MD,200,"HARRIS, Andy",H001052,0.673,-0.396
House,21334,6,MD,100,"DELANEY, John",D000620,-0.276,0.041
House,29587,7,MD,100,"CUMMINGS, Elijah Eugene",C000984,-0.438,-0.148
House,14435,5,MA,100,"MARKEY, Edward John",M000133,-0.514,-0.462
House,15616,1,MA,100,"NEAL, Richard Edmund",N000015,-0.417,-0.108
House,20119,8,MA,100,"LYNCH, Stephen F.",L000562,-0.34900000000000003,0.037
House,20754,3,MA,100,"TSONGAS, Nicola S. (Niki)",T000465,-0.396,-0.199
House,21140,9,MA,100,"KEATING, William R.",K000375,-0.332,-0.116
House,21335,4,MA,100,"KENNEDY, Joseph P. III",K000379,-0.421,-0.20600000000000002
House,29729,2,MA,100,"McGOVERN, James P.",M000312,-0.538,-0.318
House,29730,6,MA,100,"TIERNEY, John F.",T000266,-0.488,-0.433
House,29919,7,MA,100,"CAPUANO, Michael Everett",C001037,-0.58,-0.082
House,2605,12,MI,100,"DINGELL, John David, Jr.",D000355,-0.448,0.313
House,10713,13,MI,100,"CONYERS, John, Jr.",C000714,-0.658,-0.512
House,15033,9,MI,100,"LEVIN, Sander Martin",L000263,-0.379,-0.091
House,15446,6,MI,200,"UPTON, Frederick Stephen",U000031,0.32,-0.355
House,20120,8,MI,200,"ROGERS, Mike",R000572,0.4,0.098
House,20331,10,MI,200,"MILLER, Candice S.",M001150,0.343,-0.001
House,20725,7,MI,200,"WALBERG, Tim",W000798,0.508,0.116
House,20923,14,MI,100,"PETERS, Gary C.",P000595,-0.246,-0.185
House,21141,1,MI,200,"BENISHEK, Dan",B001271,0.491,-0.15
House,21142,2,MI,200,"HUIZENGA, Bill",H001058,0.55,0.002
House,21143,3,MI,200,"AMASH, Justin",A000367,0.654,-0.757
House,21336,11,MI,200,"BENTIVOLIO, Kerry",B001280,0.723,-0.319
House,21372,5,MI,100,"KILDEE, Dan",K000380,-0.374,-0.17300000000000001
House,29124,4,MI,200,"CAMP, David Lee",C000071,0.385,-0.048
House,14263,8,MN,100,"NOLAN, Richard Michael",N000127,-0.372,-0.372
House,20122,4,MN,100,"McCOLLUM, Betty",M001143,-0.417,-0.187
House,20333,2,MN,200,"KLINE, John",K000363,0.49,0.154
House,20726,1,MN,100,"WALZ, Tim",W000799,-0.275,0.131
House,20727,5,MN,100,"ELLISON, Keith",E000288,-0.537,-0.58
House,20728,6,MN,200,"BACHMANN, Michele",B001256,0.584,-0.03
