icpsr,district,state,party,NOMINATE_dim1,NOMINATE_dim2,candidate_id,name,ici,ttl_receipts,comm_receipts,ttl_disb,comm_disb,start_cash,end_cash,cand_contrib,cand_loans,ind_contrib,district,state,other_comm_contrib,pty_contrib
21312,41,CA,100,-0.464,-0.273,H2CA43245,"takano, mark",O,1461798.23,10825.0,1437163.21,0.0,0.0,24635.02,1350.0,0.0,962419.84,CA,41,468619.93,11926.27
21313,47,CA,100,-0.449,-0.384,H2CA00104,"lowenthal, alan",C,1213336.82,0.0,1175009.14,0.0,0.0,39710.71,20000.0,0.0,690010.99,CA,47,499468.21,0.0
21314,51,CA,100,-0.403,0.06,H2CA50026,"vargas, juan c.",O,1075806.23,0.0,1024618.48,0.0,51.56,51239.31,0.0,60000.0,383787.0,CA,51,629350.0,2000.0
21315,52,CA,100,-0.186,-0.032,H2CA52089,"peters, scott",C,4381438.01,5000.0,4352737.01,0.0,0.0,28701.0,7452.11,2750000.0,1252135.93,CA,52,323819.75,900.0
29106,43,CA,100,-0.656,-0.075,H4CA23011,"waters, maxine",I,729887.77,0.0,717251.4,0.0,26546.84,46683.21,0.0,0.0,363850.81,CA,43,275695.0,250.0
29312,18,CA,100,-0.38,-0.404,H8CA12098,"eshoo, anna",I,1489802.48,0.0,1629523.88,0.0,513279.86,373558.46,0.0,0.0,809053.42,CA,18,676109.66,53.15
29313,20,CA,100,-0.455,-0.219,H4CA17021,"farr, sam",I,735679.32,0.0,727205.98,0.0,65445.14,73918.48,0.0,0.0,327868.0,CA,20,405556.84,0.0
29315,25,CA,200,0.396,0.208,H2CA25036,"mckeon, howard p. 'buck'",I,1980066.12,56906.67,1756319.01,0.0,292878.17,516625.28,0.0,0.0,1091355.19,CA,25,806100.0,0.0
29316,34,CA,100,-0.512,-0.283,H2CA30143,"becerra, xavier",I,1849999.56,0.0,1570150.91,0.0,621930.8,901779.45,0.0,0.0,593715.44,CA,34,1238128.77,64.38
29317,40,CA,100,-0.469,-0.171,H2CA33048,"roybal-allard, lucille",I,581440.27,0.0,563470.74,0.0,16188.65,34158.18,0.0,0.0,252180.28,CA,40,322899.0,0.0
29321,39,CA,200,0.657,-0.353,H6CA39020,"royce, edward r",I,2748940.37,10549.75,4517754.11,2564.24,2334760.15,565771.41,0.0,0.0,1724829.36,CA,39,958824.82,0.0
29323,42,CA,200,0.349,0.232,H2CA37023,"calvert, kenneth s",I,1091572.66,0.0,847022.87,0.0,174794.52,419344.28,0.0,0.0,567470.83,CA,42,504238.68,0.0
29504,19,CA,100,-0.4,-0.428,H4CA16049,"lofgren, zoe",I,858985.44,0.0,626000.61,0.0,342979.42,575964.25,0.0,0.0,427611.83,CA,19,408121.02,400.0
29707,30,CA,100,-0.344,-0.144,H6CA24113,"sherman, brad",I,3401860.25,0.0,6372614.48,0.0,3018532.72,47778.49,0.0,700000.0,1273777.93,CA,30,667707.8,0.0
29709,46,CA,100,-0.367,0.025,H6CA46033,"sanchez, loretta",I,1682794.42,36852.0,1679429.19,0.0,217519.29,220884.52,1100.0,0.0,897820.18,CA,46,723726.89,39.63
29774,24,CA,100,-0.389,-0.227,H8CA22089,"capps, lois",I,3320070.72,1925.0,3286649.92,0.0,321009.75,354430.55,0.0,0.0,2116810.22,CA,24,1132703.11,9165.18
29778,13,CA,100,-0.677,-0.572,H8CA09060,"lee, barbara",I,1167291.69,0.0,1148467.65,0.0,26356.55,45180.59,0.0,0.0,814593.62,CA,13,352230.0,32.66
29901,5,CA,100,-0.393,0.069,H8CA01109,"thompson, mike mr.",I,1811426.04,0.0,1617250.71,0.0,1122855.02,1317030.35,0.0,0.0,717324.63,CA,5,1069060.62,537.88
29903,32,CA,100,-0.448,-0.246,H8CA34068,"napolitano, grace",I,540770.26,0.0,610490.76,0.0,279135.65,209415.15,0.0,0.0,181419.0,CA,32,342974.31,0.0
29905,31,CA,200,0.478,0.222,H8CA41063,"miller, gary g",I,1271804.06,11946.58,1706171.25,0.0,860441.94,426074.75,0.0,0.0,563106.66,CA,31,657561.67,5000.0
20704,5,CO,200,0.666,0.238,H6CO05159,"lamborn, douglas",I,721043.63,0.0,824502.31,0.0,154562.53,51103.85,22500.0,25000.0,227398.46,CO,5,444980.8,500.0
20705,7,CO,100,-0.282,0.072,H6CO07023,"perlmutter, edwin g",I,2970375.65,44125.0,2988390.89,0.0,45222.28,27207.04,0.0,0.0,1480131.89,CO,7,1432023.51,9900.0
20904,2,CO,100,-0.278,-0.692,H8CO02137,"polis, jared",I,1149923.96,25850.0,1506673.17,0.0,382125.76,25376.55,386929.82,0.0,728312.29,CO,2,1000.0,3000.0
20906,6,CO,200,0.492,-0.213,H8CO06138,"coffman, michael",I,3441282.7,460831.2,3844986.68,0.0,411536.76,7832.78,0.0,0.0,1967017.11,CO,6,997856.5,15000.0
21111,3,CO,200,0.451,-0.023,H6CO03139,"tipton, scott r.",I,2342228.83,33870.17,2225170.66,0.0,24116.77,136546.31,0.0,0.0,1575577.26,CO,3,717481.4,15300.0
21112,4,CO,200,0.444,-0.029,H0CO04122,"gardner, cory",I,2320196.2,24596.47,1873982.8,47819.69,18988.63,465202.03,0.0,0.0,1182207.49,CO,4,1096086.81,700.0
29710,1,CO,100,-0.431,-0.305,H6CO01141,"degette, diana l.",I,1051538.17,40511.28,1098046.15,0.0,108829.34,62321.36,0.0,0.0,439553.17,CO,1,565550.0,0.0
20706,2,CT,100,-0.342,0.024,H2CT02112,"courtney, joseph d",I,1520758.75,0.0,1449934.62,0.0,235559.04,306383.17,0.0,0.0,758226.2,CT,2,737544.18,14.87
20907,4,CT,100,-0.239,-0.229,H8CT04172,"himes, jim",I,3035222.27,17110.59,2289994.06,0.0,16862.94,762091.15,0.0,0.0,1923778.71,CT,4,1074355.75,4379.01
21316,5,CT,100,-0.315,-0.078,H2CT05131,"esty, elizabeth",O,3326549.65,0.0,3285559.7,100.0,0.0,40989.95,7694.67,595000.0,2309154.9,CT,5,394461.88,14772.27
29109,3,CT,100,-0.414,-0.115,H0CT03072,"delauro, rosa l",I,1175607.54,0.0,1169821.23,0.0,5184.95,10971.26,0.0,0.0,558022.81,CT,3,614534.07,26.73
29908,1,CT,100,-0.396,-0.048,H8CT01046,"larson, john b",I,2018561.37,0.0,2232557.75,0.0,416846.76,202850.38,0.0,0.0,861570.15,CT,1,1132595.98,15.97
21113,0,DE,100,-0.256,-0.142,H0DE01017,"carney, john charles jr",I,1526892.72,0.0,1016701.58,200000.0,24925.12,521357.12,0.0,0.0,615842.2,DE,0,856374.85,0.0
13047,13,FL,200,0.325,-0.112,H6FL06035,"young, c w bill",I,1040707.05,0.0,1047105.4,0.0,203339.78,196941.43,0.0,0.0,549441.0,FL,13,488653.56,0.0
15634,27,FL,200,0.244,-0.225,H0FL18025,"ros-lehtinen, ileana",I,2146246.12,18125.0,1190873.38,0.0,835222.29,1790595.03,0.0,0.0,1505211.34,FL,27,610850.0,0.0
20110,1,FL,200,0.633,0.155,H2FL01100,"miller, jefferson b.",I,731600.7,43864.85,684274.71,0.0,18622.61,65948.6,0.0,0.0,309223.23,FL,1,377359.34,0.0
20111,4,FL,200,0.333,0.337,H0FL04066,"crenshaw, ander hon.",I,543226.67,0.0,721657.11,0.0,547613.38,369182.94,0.0,0.0,232833.0,FL,4,302466.82,0.0
20316,25,FL,200,0.286,0.129,H2FL25018,"diaz-balart, mario",I,852973.17,0.0,769587.43,0.0,215085.43,298471.17,0.0,0.0,369311.36,FL,25,470250.0,0.0
20504,23,FL,100,-0.418,0.081,H4FL20023,"schultz, debbie wasserman",I,3629324.39,2150.0,3520041.53,0.0,420913.72,530196.58,0.0,0.0,2837623.72,FL,23,770500.0,65.75
20708,14,FL,100,-0.438,0.054,H6FL11126,"castor, kathy",I,1020415.31,0.0,801763.55,0.0,327196.43,545848.19,0.0,0.0,567723.94,FL,14,447482.55,0.0
20709,16,FL,200,0.362,-0.103,H6FL13148,"buchanan, vernon",I,2730570.15,335730.81,3561677.07,150.0,956763.47,125656.55,20701.05,500000.0,1082752.88,FL,16,752375.02,0.0
20758,12,FL,200,0.41,0.009,H6FL09070,"bilirakis, gus michael",I,758988.49,0.0,919050.25,0.0,208030.19,47968.43,0.0,0.0,473376.38,FL,12,281600.0,0.0
20908,9,FL,100,-0.363,-0.457,H6FL08213,"grayson, alan mark",C,5394199.71,0.0,5352174.02,0.0,332.5,42358.19,0.0,1437875.0,3714545.18,FL,9,230366.83,0.0
20909,8,FL,200,0.527,-0.349,H8FL15107,"posey, bill",I,1051651.68,0.0,900121.53,0.0,101815.46,253345.61,0.0,0.0,582342.96,FL,8,467200.0,0.0
20910,17,FL,200,0.458,0.013,H8FL16022,"rooney, tom",I,1096521.82,7878.25,1092225.21,0.0,432473.86,436770.47,0.0,0.0,581495.0,FL,17,504199.51,600.0
20959,21,FL,100,-0.401,-0.078,H0FL19080,"deutch, theodore eliot",I,1264258.45,2434.08,921398.24,100.0,128406.17,471266.38,0.0,0.0,894078.17,FL,21,367022.1,0.0
